,table,field,field_after_change,is_closed
982,prs_Courses,CourseFieldID,Course Field ID,1
983,prs_Courses,ModificationServerGuid,Modification Server Guid,0
984,prs_Courses,RegistrarDate,Registrar Date,0
985,prs_Courses,PresentationDate,Presentation Date,0
986,prs_PersonnelFrontServices,VoluntaryService,Voluntary Service,0
987,prs_PersonnelFrontServices,Continuity,Continuity,0
988,prs_PersonnelFrontServices,UnchangeableDuration,Unchangeable Duration,0
989,prs_DecreeCorrectionAffectedDecrees,DecreeID_Back,Decree Back,1
990,prs_DecreeCorrectionAffectedDecrees,AffectedDecreeID_Back,Affected Decree Back,1
991,prs_DecreeCorrectionAffectedDecrees,AffectionJobGroupCode,Affection Job Group Code,0
992,prs_DecreeCorrectionAffectedDecrees,AffectionJobBaseCode,Affection Job Base Code,0
993,prs_DecreeCorrectionAffectedDecrees,AffectionJobGradeTitle,Affection Job Grade Title,0
994,prs_DecreeCorrectionAffectedDecrees,DecreeGuid,Decree Guid,0
995,prs_DecreeCorrectionAffectedDecrees,AffectedDecreeGuid,Affected Decree Guid,0
996,prs_DecreeCorrectionAffectedDecrees,AffectedDecreeEffectiveDate,Affected Decree Effective Date,0
997,prs_DecreeCorrectionAffectedDecrees,AffectionExpertGradeTitle,Affection Expert Grade Title,0
998,prs_EducationCenters,CenterLevelId,Center Level Id,0
999,prs_PersonnelIncrementFactors,IncrementFactorID,Increment Factor ID,1
1000,prs_PersonnelIncrementFactors,Factor,Factor,0
1001,prs_personnelback960321,PersonnelNo,Personnel No,0
1002,prs_personnelback960321,EmploymentNo,Employment No,0
1003,prs_personnelback960321,IDSerial,Serial,1
1004,prs_personnelback960321,IDPlace,Place,1
1005,prs_personnelback960321,IDPlaceID,Place ID,1
1006,prs_personnelback960321,BirthPlace,Birth Place,0
1007,prs_personnelback960321,NationalityID,Nationality ID,1
1008,prs_personnelback960321,ReligionID,Religion ID,1
1009,prs_personnelback960321,MilitaryStatusID,Military Status ID,1
1010,prs_personnelback960321,MaritalStatusID,Marital Status ID,1
1011,prs_personnelback960321,SpouseJob,Spouse Job,0
1012,prs_personnelback960321,MarriageDate,Marriage Date,0
1013,prs_personnelback960321,ChildrenCount,Children Count,0
1014,prs_personnelback960321,EligibleChildrenCount,Eligible Children Count,0
1015,prs_personnelback960321,DependantCount,Dependant Count,0
1016,prs_personnelback960321,SettlementStatusID,Settlement Status ID,1
1017,prs_personnelback960321,TitleID,Title ID,1
1018,prs_personnelback960321,HomePhone,Home Phone,1
1019,prs_personnelback960321,EmergencyPhone,Emergency Phone,1
1020,prs_personnelback960321,CellPhone,Cell Phone,1
1021,prs_personnelback960321,TrialEmploymentDate,Trial Employment Date,0
1022,prs_personnelback960321,EmploymentDate,Employment Date,0
1023,prs_personnelback960321,ServiceEnteranceDate,Service Enterance Date,0
1024,prs_personnelback960321,ServiceQuitDate,Service Quit Date,0
1025,prs_personnelback960321,EmploymentStatusID,Employment Status ID,1
1026,prs_personnelback960321,ActiveContractNumber,Active Contract Number,0
1027,prs_personnelback960321,ActiveContractStartDate,Active Contract Start Date,0
1028,prs_personnelback960321,ActiveContractEndDate,Active Contract End Date,0
1029,prs_personnelback960321,ActiveContractTypeID,Active Contract Type ID,1
1030,prs_personnelback960321,LeaveGroupID,Leave Group ID,1
1031,prs_personnelback960321,WorkTurnID,Work Turn ID,1
1032,prs_personnelback960321,WorkSectionID,Work Section ID,1
1033,prs_personnelback960321,WorkSectionTitle,Work Section Title,0
1034,prs_personnelback960321,OfficialWorkSectionTitle,Official Work Section Title,0
1035,prs_personnelback960321,StaffTitle,Staff Title,0
1036,prs_personnelback960321,OfficialPostTitle,Official Post Title,0
1037,prs_personnelback960321,StaffPureTitle,Staff Pure Title,0
1038,prs_personnelback960321,OfficialPostPureTitle,Official Post Pure Title,0
1039,prs_personnelback960321,JobStageID,Job Stage ID,1
1040,prs_personnelback960321,JobCategoryID,Job Category ID,1
1041,prs_personnelback960321,JobFieldID,Job Field ID,1
1042,prs_personnelback960321,EnteranceJobGroupCode,Enterance Job Group Code,0
1043,prs_personnelback960321,EnteranceJobBaseCode,Enterance Job Base Code,0
1044,prs_personnelback960321,EnteranceEmploymentTypeID,Enterance Employment Type ID,1
1045,prs_personnelback960321,JobGroupCode,Job Group Code,0
1046,prs_personnelback960321,JobBaseCode,Job Base Code,0
1047,prs_personnelback960321,JobGradeID,Job Grade ID,1
1048,prs_personnelback960321,EqualJobBaseCode,Equal Job Base Code,0
1049,prs_personnelback960321,EqualJobGradeID,Equal Job Grade ID,1
1050,prs_personnelback960321,PostGroupCode,Post Group Code,0
1051,prs_personnelback960321,ExpertGradeID,Expert Grade ID,1
1052,prs_personnelback960321,DiplomaTypeID,Diploma Type ID,1
1053,prs_personnelback960321,GraduationPlace,Graduation Place,0
1054,prs_personnelback960321,Compilations,Compilations,0
1055,prs_personnelback960321,JobIDNumber,Job Number,1
1056,prs_personnelback960321,InjuryPercentage,Injury Percentage,0
1057,prs_personnelback960321,SacrificerRelationID,Sacrificer Relation ID,1
1058,prs_personnelback960321,CaptivityDuration,Captivity Duration,0
1059,prs_personnelback960321,FrontServiceDuration,Front Service Duration,0
1060,prs_personnelback960321,BasijEnteranceDate,Basij Enterance Date,0
1061,prs_personnelback960321,BasijiTypeID,Basiji Type ID,1
1062,prs_personnelback960321,WarPresenceDuration,War Presence Duration,0
1063,prs_personnelback960321,MilitaryDuration,Military Duration,0
1064,prs_personnelback960321,Picture,Picture,0
1065,prs_personnelback960321,Picture_filename,Picturefilename,0
1066,prs_personnelback960321,EmploymentFormID,Employment Form ID,1
1067,prs_personnelback960321,CurrentUpgradeGroupDate,Current Upgrade Group Date,0
1068,prs_personnelback960321,NextUpgradeGroupDate,Next Upgrade Group Date,0
1069,prs_personnelback960321,DossierNo,Dossier No,0
1070,prs_personnelback960321,FieldTypeID,Field Type ID,1
1071,prs_personnelback960321,OperationalUnitID_Backup,Operational Unit Backup,1
1072,prs_personnelback960321,FinancialIdentifierCode,Financial Identifier Code,0
1073,prs_personnelback960321,ActiveContractJobID,Active Contract Job ID,1
1074,prs_personnelback960321,UniversityType,University Type,0
1075,prs_personnelback960321,SpouseEducation,Spouse Education,0
1076,prs_personnelback960321,MilitaryServiceStartDate,Military Service Start Date,0
1077,prs_personnelback960321,MilitaryServiceEndDate,Military Service End Date,0
1078,prs_personnelback960321,MilitaryServiceComment,Military Service Comment,0
1079,prs_personnelback960321,RentAmount,Rent Amount,0
1080,prs_personnelback960321,EmploymentDocumentNo,Employment Document No,0
1081,prs_personnelback960321,EmploymentDocumentTitle,Employment Document Title,0
1082,prs_personnelback960321,EmploymentDocumentDate,Employment Document Date,0
1083,prs_personnelback960321,ManagerLevelNumber,Manager Level Number,0
1084,prs_personnelback960321,ManagerLevelID,Manager Level ID,1
1085,prs_personnelback960321,FullName,Full Name,0
1086,prs_personnelback960321,FullNameReversed,Full Name Reversed,0
1087,prs_personnelback960321,OperationalUnitTitles,Operational Unit Titles,0
1088,prs_personnelback960321,EducationLicenseTypeID,Education License Type ID,1
1089,prs_personnelback960321,FirstWorkPlaceID,First Work Place ID,1
1090,prs_personnelback960321,SequenceNo,Sequence No,0
1091,prs_personnelback960321,OfficialWorkSectionStructureGuid,Official Work Section Structure Guid,0
1092,prs_personnelback960321,OfficialPostStructureGuid,Official Post Structure Guid,0
1093,prs_personnelback960321,SpouseEducationGuid,Spouse Education Guid,0
1094,prs_personnelback960321,RetirementDate,Retirement Date,0
1095,prs_personnelback960321,ActiveForeignLanguageID,Active Foreign Language ID,1
1096,prs_personnelback960321,ActiveForeignLanguageProficiencyLevelID,Active Foreign Language Proficiency Level ID,1
1097,prs_personnelback960321,ActiveForeignLanguageRequirementLevelID,Active Foreign Language Requirement Level ID,1
1098,prs_personnelback960321,ActiveForeignLanguageLevelTitle,Active Foreign Language Level Title,0
1099,prs_personnelback960321,EducationBranchGuid,Education Branch Guid,0
1100,prs_personnelback960321,DeathDate,Death Date,0
1101,prs_personnelback960321,NationalityGuid,Nationality Guid,0
1102,prs_DecreeItems,ItemID_Back,Item Back,1
1103,prs_DecreeItems,LadderDecreeID_Back,Ladder Decree Back,1
1104,prs_DecreeItems,Overridden,Overridden,0
1105,prs_DecreeItems,LadderDecreeGuid,Ladder Decree Guid,0
1106,prs_AssociationPlanDetail,AssociationGuid,Association Guid,0
1107,prs_AssociationPlanDetail,AssociationPlanGuid,Association Plan Guid,0
1108,prs_AssociationPlanDetail,ApprovementLevels,Approvement Levels,0
1109,prs_AssociationPlanDetail,FirstReceiverStaffGuid,First Receiver Staff Guid,0
1110,prs_StructureTreeIDMap,StructureTreeGuid,Structure Tree Guid,0
1111,prs_StructureTreeIDMap,IDMap,Map,1
1112,prs_OperationalUnitPersonnelCriteria_Back,CriteriaType,Criteria Type,0
1113,prs_OperationalUnitPersonnelCriteria_Back,CriteriaID,Criteria ID,1
1114,prs_OperationalUnitPersonnelCriteria_Back,CriteriaGuid,Criteria Guid,0
1115,prs_PersonnelLeaveMilestones_Old,LeaveTypeID,Leave Type ID,1
1116,prs_PersonnelLeaveMilestones_Old,CalculationDate,Calculation Date,0
1117,prs_PersonnelLeaveMilestones_Old,RemainingDays,Remaining Days,0
1118,prs_PersonnelLeaveMilestones_Old,RemainingXMins,Remaining Mins,0
1119,prs_PersonnelLeaveMilestones_Old,RemainingYearlyDays,Remaining Yearly Days,0
1120,prs_PersonnelLeaveMilestones_Old,RemainingYearlyXMins,Remaining Yearly Mins,0
1121,prs_PersonnelLeaveMilestones_Old,UsedDays,Used Days,0
1122,prs_PersonnelLeaveMilestones_Old,UsedMins,Used Mins,0
1123,prs_DecreeLogs,Event_Back,Event Back,0
1124,prs_DecreeLogs,Time,Time,0
1125,prs_DecreeLogs,Event,Event,0
1126,prs_EducationFieldGroupEducationFields,EducationFieldGroupGuid,Education Field Group Guid,0
1127,prs_Personnel,MilitaryEducationLevelID,Military Education Level ID,1
1128,prs_Personnel,AddressPlaceID,Address Place ID,1
1129,prs_Personnel,FullNameWithNoSpace,Full Name With No Space,0
1130,prs_Personnel,IDSeries1,Series,1
1131,prs_Personnel,ContractDate,Contract Date,0
1132,prs_Personnel,EmploymentPermissionsTypeTitleID,Employment Permissions Type Title ID,1
1133,prs_Personnel,TypeUseExaminationYearTitleID,Type Use Examination Year Title ID,1
1134,prs_Personnel,ExaminationYearTitleID,Examination Year Title ID,1
1135,prs_Personnel,TransportStatus,Transport Status,0
1136,prs_Decrees,TemplateID_Back,Template Back,1
1137,prs_Decrees,IndicatorID,Indicator ID,1
1138,prs_Decrees,DemandDate,Demand Date,0
1139,prs_Decrees,DrawDate,Draw Date,0
1140,prs_Decrees,DecreeJobGroupCode,Decree Job Group Code,0
1141,prs_Decrees,ResponsibleID,Responsible ID,1
1142,prs_Decrees,ConfirmerID,Confirmer ID,1
1143,prs_Decrees,WorkingPeriodStandardLength,Working Period Standard Length,0
1144,prs_Decrees,Type_Back,Type Back,0
1145,prs_Decrees,Approved,Approved,0
1146,prs_Decrees,Status_Back,Status Back,0
1147,prs_Decrees,IdentityNumber,Identity Number,0
1148,prs_Decrees,ApprovementDate,Approvement Date,0
1149,prs_Decrees,PaymentApproved,Payment Approved,0
1150,prs_Decrees,PaymentApprovementDate,Payment Approvement Date,0
1151,prs_Decrees,DecreeJobBaseCode,Decree Job Base Code,0
1152,prs_Decrees,DecreeJobGradeTitle,Decree Job Grade Title,0
1153,prs_Decrees,LadderDrawCalculationType,Ladder Draw Calculation Type,0
1154,prs_Decrees,LadderDecreeTemplateFileID,Ladder Decree Template File ID,1
1155,prs_Decrees,SentForSign,Sent For Sign,0
1156,prs_Decrees,ItemsSum,Items Sum,0
1157,prs_Decrees,SingleAffectedDecreeID_Back,Single Affected Decree Back,1
1158,prs_Decrees,SingleAffectedDecreeGuid,Single Affected Decree Guid,0
1159,prs_Decrees,DecreeNo,Decree No,0
1160,prs_Decrees,Signed,Signed,0
1161,prs_Decrees,LadderTemplateVersionsAssignmentsGuid,Ladder Template Versions Assignments Guid,0
1162,prs_Decrees,SentToPayroll,Sent To Payroll,0
1163,prs_Decrees,Bookmarks,Bookmarks,0
1164,prs_Decrees,DecreeExpertGradeTitle,Decree Expert Grade Title,0
1165,prs_Decrees,DecreeWorkflowProcessGuid,Decree Workflow Process Guid,0
1166,prs_Decrees,DecreeWorkflowProcessState,Decree Workflow Process State,0
1167,prs_Decrees,SentToPayrollDate,Sent To Payroll Date,0
1168,prs_Decrees,Archived,Archived,0
1169,prs_LadderDecrees,PreLadderDecreeGuid,Pre Ladder Decree Guid,0
1170,prs_LadderDecrees,NextLadderDecreeGuid,Next Ladder Decree Guid,0
1171,prs_PersonnelMissions,PersonnelID,Personnel ID,1
1172,prs_PersonnelMissions,EmissionDate,Emission Date,0
1173,prs_PersonnelMissions,Subject,Subject,0
1174,prs_PersonnelMissions,MissionType,Mission Type,0
1175,prs_PersonnelMissions,DeparcherTime,Deparcher Time,0
1176,prs_PersonnelMissions,Transport,Transport,0
1177,prs_PersonnelMissions,ResponsiblePost,Responsible Post,0
1178,prs_PersonnelMissions,ResponsibleName,Responsible Name,0
1179,prs_PersonnelMissions,PaymentPercent,Payment Percent,0
1180,prs_PersonnelMissions,ConstPayment,Const Payment,0
1181,prs_PersonnelMissions,MissionConstPayment,Mission Const Payment,0
1182,prs_PersonnelMissions,MissionTotalPayment,Mission Total Payment,0
1183,prs_PersonnelMissions,Currency,Currency,0
1184,prs_PersonnelMissions,CurrencyRate,Currency Rate,0
1185,prs_PersonnelMissions,CurrencyPayment,Currency Payment,0
1186,prs_PersonnelMissions,CurrencyAmount,Currency Amount,0
1187,prs_EducationFieldGroups,EducationFieldGroupTemplateGuid,Education Field Group Template Guid,0
1188,prs_PersonnelReferencedLetters,LetterNo,Letter No,0
1189,prs_PersonnelReferencedLetters,LetterDate,Letter Date,0
1190,prs_DecreeSummaries,Item3,Item,0
1191,prs_PersonnelResultSetItems,PersonnelResultSetID,Personnel Result Set ID,1
1192,prs_RetiredTypes,CalculateByLastDecree,Calculate By Last Decree,0
1193,prs_RetiredTypes,DayOfDecreeCalculation,Day Of Decree Calculation,0
1194,prs_RetiredTypes,Logic,Logic,0
1195,prs_RetiredTypes,DaysOfRetirement,Days Of Retirement,0
1196,prs_RetiredTypes,ExtraRetiredDaysRatio,Extra Retired Days Ratio,0
1197,prs_RetiredTypes,DeductionRetiredDaysRatio,Deduction Retired Days Ratio,0
1198,Decrees_PersonnelNotFound,personnelNo,personnel No,0
1199,prs_EducationLevelGroupEducationLevels,EducationLevelGroupGuid,Education Level Group Guid,0
1200,prs_DecreeTemplateItems,DecreeTemplateID_Back,Decree Template Back,1
1201,prs_DecreeTemplateItems,DecreeTemplateGuid,Decree Template Guid,0
1202,prs_LeaveTypePreusableMonths,RequestMonth,Request Month,0
1203,prs_LeaveTypePreusableMonths,PreusableMonthsCount,Preusable Months Count,0
1204,prs_PersonnelWorkHistory,JobTitle,Job Title,0
1205,prs_PersonnelWorkHistory,Government,Government,0
1206,prs_PersonnelWorkHistory,Experience,Experience,0
1207,prs_PersonnelWorkHistory,Retirement,Retirement,0
1208,prs_PersonnelWorkHistory,OrganizationName,Organization Name,0
1209,prs_PersonnelWorkHistory,PrivateSector,Private Sector,0
1210,prs_PersonnelWorkHistory,ThisOrganization,This Organization,0
1211,prs_PersonnelWorkHistory,Insurance,Insurance,0
1212,prs_PersonnelWorkHistory,WorkPlace,Work Place,0
1213,prs_PersonnelWorkHistory,CityVillage,City Village,0
1214,prs_PersonnelWorkHistory,Province,Province,0
1215,prs_PersonnelWorkHistory,QuitReason,Quit Reason,0
1216,prs_PersonnelWorkHistory,DecreeDate,Decree Date,0
1217,prs_PersonnelWorkHistory,FromUpdate,From Update,0
1218,prs_PersonnelWorkHistory,Manager,Manager,0
1219,prs_PersonnelWorkHistory,Supervisor,Supervisor,0
1220,prs_PersonnelWorkHistory,WorkHistoryEducationLevelID,Work History Education Level ID,1
1221,prs_PersonnelWorkHistory,UpdatedByDecree,Updated By Decree,0
1222,prs_PersonnelWorkHistory,HalfTime,Half Time,0
1223,prs_PersonnelWorkHistory,Appointed,Appointed,0
1224,prs_PersonnelWorkHistory,JobId,Job Id,0
1225,prs_PersonnelWorkHistory,OfficialPostGuid,Official Post Guid,0
1226,prs_PersonnelWorkHistory,JobFieldsId,Job Fields Id,0
1227,prs_PersonnelWorkHistory,ExtraWorkHistory1,Extra Work History,0
1228,prs_PersonnelWorkHistory,Reserved1,Reserved,0
1229,prs_EducationLevelGroups,EducationLevelGroupTemplateGuid,Education Level Group Template Guid,0
1230,prs_PersonnelLeaveMilestonesConvertDetails,LostDays,Lost Days,0
1231,prs_PersonnelLeaveMilestonesConvertDetails,LostMins,Lost Mins,0
1232,prs_PersonnelLeaveMilestonesConvertDetails,PersonnelBaseId,Personnel Base Id,0
1233,prs_PersonnelLeaveMilestonesConvertDetails,ConvertDate,Convert Date,0
1234,prs_AttachmentFileNatureFieldsMapping,EmploymentAttachNatureID,Employment Attach Nature ID,1
1235,prs_AttachmentFileNatureFieldsMapping,PersonnelAttachNatureID,Personnel Attach Nature ID,1
1236,prs_items_bak940909,UsableInDecree,Usable In Decree,0
1237,prs_items_bak940909,SummarizeInSalary,Summarize In Salary,0
1238,prs_items_bak940909,ItemCategoryID_Back,Item Category Back,1
1239,prs_items_bak940909,DisplayCategoryID_Back,Display Category Back,1
1240,prs_items_bak940909,ItemCategoryGuid,Item Category Guid,0
1241,prs_items_bak940909,DisplayCategoryGuid_Back,Display Category Guid Back,0
1242,prs_items_bak940909,DisplayInDecree,Display In Decree,0
1243,prs_items_bak940909,LadderItemOrder,Ladder Item Order,0
1244,prs_PredecreeItems,PredecreeID_Back,Predecree Back,1
1245,prs_PredecreeItems,PredecreeGuid,Predecree Guid,0
1246,prs_DecreeTemplates,ID_Back,Back,1
1247,prs_DecreeTemplates,EffectsWorkHistory,Effects Work History,0
1248,prs_DecreeTemplates,SuppressZero_Back,Suppress Zero Back,0
1249,prs_DecreeTemplates,DecreeTemplateFileID,Decree Template File ID,1
1250,prs_DecreeTemplates,CategoryID_Back,Category Back,1
1251,prs_DecreeTemplates,RowNO,Row NO,0
1252,prs_DecreeTemplates,DecreeTemplateItemTemplateID_Back,Decree Template Item Template Back,1
1253,prs_DecreeTemplates,CategoryGuid,Category Guid,0
1254,prs_DecreeTemplates,SuppressZeroItemsForLadderDecrees,Suppress Zero Items For Ladder Decrees,0
1255,prs_DecreeTemplates,UseDecreeWorkflowProcessStep,Use Decree Workflow Process Step,0
1256,Decrees,DecreeTitle,Decree Title,0
1257,Decrees,DecreeEffectiveDate,Decree Effective Date,0
1258,Decrees,DecreeValidityDate,Decree Validity Date,0
1259,Decrees,DecreeDrawDate,Decree Draw Date,0
1260,Decrees,DecreeComments,Decree Comments,0
1261,prs_PersonnelLeaveMilestonesConvert,LastDeciderStaffID,Last Decider Staff ID,1
1262,prs_Promotions,WorkflowNo,Workflow No,0
1263,prs_Promotions,ExecutionDate,Execution Date,0
1264,prs_Promotions,OfferWorkSectionID,Offer Work Section ID,1
1265,prs_Promotions,OfferStaffID,Offer Staff ID,1
1266,prs_Promotions,OfferOfficialWorkSectionGuid,Offer Official Work Section Guid,0
1267,prs_Promotions,OfferOfficialPostGuid,Offer Official Post Guid,0
1268,prs_Promotions,OfferWorkPlaceID,Offer Work Place ID,1
1269,prs_Promotions,ReferentialResponsibilityID,Referential Responsibility ID,1
1270,prs_Promotions,ReferentialResponsibilityType,Referential Responsibility Type,0
1271,prs_Promotions,OfferJobID,Offer Job ID,1
1272,prs_Promotions,OfferJobType,Offer Job Type,0
1273,prs_Promotions,OfferJobCategoryID,Offer Job Category ID,1
1274,prs_Promotions,OfferJobFieldID,Offer Job Field ID,1
1275,prs_Promotions,RequesterStaffID,Requester Staff ID,1
1276,prs_Promotions,RequesterWorkSectionID,Requester Work Section ID,1
1277,prs_Promotions,RequesterPersonnelBaseID,Requester Personnel Base ID,1
1278,prs_Promotions,ApprovedReasonID,Approved Reason ID,1
1279,prs_Promotions,RejectedReasonID,Rejected Reason ID,1
1280,prs_Predecrees,Completed,Completed,0
1281,prs_EmploymentStatusGroupEmploymentStatuses,EmploymentStatusGroupGuid,Employment Status Group Guid,0
1282,prs_PersonnelLeaveMilestonesDetailsConvert,PersonnelLeaveMilestoneConvertGuid,Personnel Leave Milestone Convert Guid,0
1283,prs_FamilyRelations,ExceptionSSNBeingThePersonUnderCustody,Exception Being The Person Under Custody,0
1284,prs_ItemDisplayTitleDetails,ItemDisplayTitleGuid,Item Display Title Guid,0
1285,prs_EmploymentStatusGroups,EmploymentStatusGroupTemplateGuid,Employment Status Group Template Guid,0
1286,prs_DepartmentExtra,UniqueIdentifier,Unique Identifier,0
1287,prs_DepartmentExtra,StructureTreeLevelGuid,Structure Tree Level Guid,0
1288,prs_DepartmentExtra,IsWorkPlace,Is Work Place,0
1289,prs_Referrals,Post,Post,0
1290,prs_Referrals,ReferralRelationTitle,Referral Relation Title,0
1291,prs_Duties,DutyGroupID-bak,Duty Group Ibak,1
1292,prs_Duties,DutyGroupGuid,Duty Group Guid,0
1293,prs_PersonnelExtraGrid1,RecordID,Record ID,1
1294,prs_RetirementTypeFactors,RetirementTypeID,Retirement Type ID,1
1295,prs_RetirementTypeFactors,FactorType,Factor Type,0
1296,prs_RetirementTypeFactors,Responsible,Responsible,0
1297,prs_EmploymentTypeGroupEmploymentTypes,EmploymentTypeGroupGuid,Employment Type Group Guid,0
1298,prs_SubAssignments,CheckGainCondition,Check Gain Condition,0
1299,prs_SubAssignments,UpdatePostStatus,Update Post Status,0
1300,prs_SubAssignments,DismissalAssignment,Dismissal Assignment,0
1301,prs_WorkHistorySettings,EnumTitle,Enum Title,0
1302,prs_WorkHistorySettings,ViewSum,View Sum,0
1303,prs_WorkHistorySettings,EffectiveInPersonnelHistorySum,Effective In Personnel History Sum,0
1304,prs_WorkHistorySettings,EffectiveInDecreeCalculationItem,Effective In Decree Calculation Item,0
1305,prs_EmploymentFormExtraFieldsMapping,EmploymentFormExtraID,Employment Form Extra ID,1
1306,prs_EmploymentFormExtraFieldsMapping,PersonnelExtraID,Personnel Extra ID,1
1307,prs_EmploymentTypeGroups,EmploymentTypeGroupTemplateGuid,Employment Type Group Template Guid,0
1308,prs_Skills,Skill,Skill,0
1309,prs_Skills,SkillID,Skill ID,1
1310,prs_Skills,SkillLevelID,Skill Level ID,1
1311,prs_Skills,WorkHistory,Work History,0
1312,prs_Educations,EducationCenterID,Education Center ID,1
1313,prs_Educations,GraduationDate,Graduation Date,0
1314,prs_Educations,Confirmation,Confirmation,0
1315,prs_Educations,TermTypeId,Term Type Id,0
1316,prs_Bookmarks,UsableInDecreeComment,Usable In Decree Comment,0
1317,prs_Bookmarks,StoreWhenCreateDecree,Store When Create Decree,0
1318,prs_EmploymentDemandedJobs,DemandedJob,Demanded Job,0
1319,prs_EmploymentDemandedJobs,DemandedSalary,Demanded Salary,0
1320,prs_EmploymentDemandedJobs,ReadyToWorkDate,Ready To Work Date,0
1321,prs_Proclamations,ProclamationNo,Proclamation No,0
1322,prs_Proclamations,ProclamationType,Proclamation Type,0
1323,prs_Proclamations,CommanderID,Commander ID,1
1324,prs_PostDuties,DutyID,Duty ID,1
1325,prs_TermsOfGeographicLocations,BadWeatherDegrees,Bad Weather Degrees,0
1326,prs_TermsOfGeographicLocations,FacilityDenialDegree,Facility Denial Degree,0
1327,prs_TermsOfGeographicLocations,AbsorptionAreas,Absorption Areas,0
1328,prs_TermsOfGeographicLocations,Border,Border,0
1329,prs_TermsOfGeographicLocations,CountryDivisionGuid,Country Division Guid,0
1330,prs_JobCategoryGroups,JobCategoryGroupTemplateGuid,Job Category Group Template Guid,0
1331,prs_EmploymentFormExtra,FormNumber,Form Number,0
1332,prs_EmploymentFormExtra,فایل_filename,filename,0
1333,prs_PostExtra,AllOperationalUnitsAccessible_Old,All Operational Units Accessible Old,0
1334,prs_PostExtra,DepartmentGuid_Back,Department Guid Back,0
1335,prs_PostExtra,Matrix,Matrix,0
1336,prs_PostExtra,ReportTo,Report To,0
1337,prs_PostExtra,UseOperationalWorkFlow,Use Operational Work Flow,0
1338,prs_ProclamationTemplateFileByEmploymentTypes,ProclamationTemplateGuid,Proclamation Template Guid,0
1339,prs_ProclamationTemplateFileByEmploymentTypes,TemplateVersionsAssignmentsGuid,Template Versions Assignments Guid,0
1340,prs_ProclamationTemplateFileByEmploymentTypes,TemplateFileID,Template File ID,1
1341,prs_DutyAssigments,DutyDescriptionGuid,Duty Description Guid,0
1342,prs_EmploymentForms,FormNo,Form No,0
1343,prs_EmploymentForms,Country,Country,0
1344,prs_EmploymentForms,City,City,0
1345,prs_EmploymentForms,WorkPhone,Work Phone,1
1346,prs_EmploymentForms,WorkingSchedule_Back,Working Schedule Back,0
1347,prs_EmploymentForms,ExtraComments,Extra Comments,0
1348,prs_EmploymentForms,LastEditorID,Last Editor ID,1
1349,prs_EmploymentForms,FatherJob,Father Job,0
1350,prs_EmploymentForms,FatherEducation,Father Education,0
1351,prs_EmploymentForms,MotherJob,Mother Job,0
1352,prs_EmploymentForms,MotherEducation,Mother Education,0
1353,prs_EmploymentForms,SiblingCount,Sibling Count,0
1354,prs_EmploymentForms,LicenseTitle,License Title,0
1355,prs_EmploymentForms,ActiveInterviewTypeGuid,Active Interview Type Guid,0
1356,prs_ProclamationTemplates,ContractTypeID,Contract Type ID,1
1357,prs_WorkflowPlanDetails,WorkflowPlanGuid,Workflow Plan Guid,0
1358,prs_WorkflowPlanDetails,DurationType,Duration Type,0
1359,prs_WorkflowPlanDetails,MaxLength,Max Length,0
1360,prs_WorkflowPlanDetails,MissionTypeGuid,Mission Type Guid,0
1361,prs_WorkflowPlanDetails,IsExtraWorkPlan,Is Extra Work Plan,0
1362,prs_DutyAssigmentSkills,DutyAssigmentGuid,Duty Assigment Guid,0
1363,prs_DutyAssigmentSkills,ProficienciesAndSkillID,Proficiencies And Skill ID,1
1364,prs_JobCategoryGroupJobCategories,JobCategoryGroupGuid,Job Category Group Guid,0
1365,prs_EmploymentFormScores,ScoringItemID,Scoring Item ID,1
1366,prs_StaffLeaveApprovers,Step,Step,0
1367,prs_StaffLeaveApprovers,ApproverID,Approver ID,1
1368,prs_JobFieldGroupJobFields,JobFieldGroupGuid,Job Field Group Guid,0
1369,prs_EmploymentInterviews,InterviewerID,Interviewer ID,1
1370,prs_EmploymentInterviews,Results,Results,0
1371,prs_EmploymentInterviews,InterviewTypeGuid,Interview Type Guid,0
1372,prs_JobFieldGroups,JobFieldGroupTemplateGuid,Job Field Group Template Guid,0
1373,prs_StructureTreeChangesTrack10,ApplyDate,Apply Date,0
1374,prs_EmploymentOfferJobs,OfferJob,Offer Job,0
1375,prs_EmploymentOfferJobs,JobLevelID,Job Level ID,1
1376,prs_MissionExtractionDetailVehicles,MissionExtractionDetailsGuid,Mission Extraction Details Guid,0
1377,prs_MissionExtractionDetailVehicles,MissionExtractionGuid,Mission Extraction Guid,0
1378,prs_MissionExtractionDetailVehicles,MissionVehicleTypeGuid,Mission Vehicle Type Guid,0
1379,prs_MissionExtractionDetailVehicles,IncludeDrivingPrice,Include Driving Price,0
1380,prs_MissionExtractionDetailVehicles,Distance,Distance,0
1381,prs_StaffPlans,LeavePlanID,Leave Plan ID,1
1382,prs_StaffPlans,ExtraWorkPlanID,Extra Work Plan ID,1
1383,prs_StaffPlans,MissionPlanID_Back,Mission Plan Back,1
1384,prs_StaffPlans,MissionPlanGuid_Back,Mission Plan Guid Back,0
1385,prs_StaffPlans,ExtraWorkPlanGuid,Extra Work Plan Guid,0
1386,prs_StaffPlans,LeavePlanGuid,Leave Plan Guid,0
